,Date,Open,High,Low,Close,Volume,Close Time,Quote AV,Trades,TB Base AV,TB Quote AV,ignore
0,1654387200000,29864.03000000,30189.00000000,29531.42000000,29919.21000000,23139.92810000,1654473599999,691201528.16002580,604680,11753.51303000,351150600.78443810,0
1,1654473600000,29919.20000000,31765.64000000,29890.23000000,31373.10000000,68836.92456000,1654559999999,2149499896.93493760,1124745,34225.53913000,1068381827.98894340,0
2,1654560000000,31373.10000000,31589.60000000,29218.96000000,31125.33000000,110674.51658000,1654646399999,3347397952.73059020,1743957,54831.53114000,1661147413.25824640,0
3,1654646400000,31125.32000000,31327.22000000,29843.88000000,30204.77000000,68542.61276000,1654732799999,2087270428.34703920,1236327,32668.41005000,995180478.27453850,0
4,1654732800000,30204.77000000,30700.00000000,29944.10000000,30109.93000000,46291.18650000,1654819199999,1399839073.77450800,841562,23082.29251000,697948605.98846330,0
5,1654819200000,30109.93000000,30382.80000000,28850.00000000,29091.88000000,76204.24980000,1654905599999,2255866294.49488670,1258608,35502.20972000,1050877735.84477560,0
6,1654905600000,29091.87000000,29440.41000000,28099.99000000,28424.70000000,65901.39895000,1654991999999,1892007188.07560010,1084163,31848.33080000,914365117.83400940,0
7,1654992000000,28424.71000000,28544.96000000,26560.00000000,26574.53000000,92474.59880900,1655078399999,2551767136.32958524,1451271,43538.78641000,1201389150.89004560,0
8,1655078400000,26574.53000000,26895.84000000,21925.77000000,22487.41000000,254611.03496600,1655164799999,6192246037.40487339,3261484,121398.55613300,2953984191.51803855,0
9,1655164800000,22485.27000000,23362.88000000,20846.00000000,22136.41000000,187201.64671000,1655251199999,4136108699.02542765,2583151,92764.74286400,2051107738.63037860,0
10,1655251200000,22136.42000000,22800.00000000,20111.62000000,22583.72000000,200774.49346700,1655337599999,4249276481.25669716,2847831,98340.10221700,2083014439.19529060,0
11,1655337600000,22583.72000000,22995.73000000,20232.00000000,20401.31000000,99673.59429000,1655423999999,2130037160.06261080,1690477,48048.86237000,1027305936.81915560,0
12,1655424000000,20400.60000000,21365.43000000,20246.66000000,20468.81000000,86694.33663000,1655510399999,1796575392.55072060,1352992,43066.94445000,892584106.65741690,0
13,1655510400000,20468.81000000,20792.06000000,17622.00000000,18970.79000000,196441.65552400,1655596799999,3726639821.69615086,2467372,96560.04464900,1833514054.88934140,0
14,1655596800000,18970.79000000,20815.95000000,17960.41000000,20574.00000000,128320.87595000,1655683199999,2487561781.53598690,1950660,65871.82216000,1277952917.40811940,0
15,1655683200000,20574.00000000,21090.00000000,19637.03000000,20573.89000000,109028.94154000,1655769599999,2220396381.74265240,1639448,54047.82476000,1100883996.50035330,0
16,1655769600000,20573.90000000,21723.00000000,20348.40000000,20723.52000000,104371.07490000,1655855999999,2198596137.34328390,1515321,52193.33566000,1099446297.12286310,0
17,1655856000000,20723.51000000,20900.00000000,19770.51000000,19987.99000000,92133.97938000,1655942399999,1872204589.23758170,1394981,44907.30453000,912710764.73022530,0
18,1655942400000,19988.00000000,21233.00000000,19890.07000000,21110.13000000,83127.08716000,1656028799999,1710694866.45724490,1207858,42716.83721000,879244263.28301580,0
19,1656028800000,21110.12000000,21558.41000000,20736.72000000,21237.69000000,77430.36622000,1656115199999,1635129191.17025090,1309709,38582.36962000,815027131.32055680,0
20,1656115200000,21237.68000000,21614.50000000,20906.62000000,21491.19000000,51431.67794000,1656201599999,1093873137.97475200,874540,25240.18142000,536863288.46274870,0
21,1656201600000,21491.18000000,21888.00000000,20964.73000000,21038.07000000,53278.10464000,1656287999999,1139258367.16291490,885306,26051.16372000,557192553.72203980,0
22,1656288000000,21038.08000000,21539.85000000,20510.00000000,20742.56000000,64475.00130000,1656374399999,1354369225.84046490,1002214,31992.46040000,672191483.81067960,0
23,1656374400000,20742.57000000,21212.10000000,20202.01000000,20281.29000000,63801.08320000,1656460799999,1321862977.93154860,1064497,30490.78532000,631852171.75962620,0
24,1656460800000,20281.28000000,20432.31000000,19854.92000000,20123.01000000,77309.04379000,1656547199999,1556549790.00892410,1210636,37814.12159000,761473366.39085880,0
25,1656547200000,20123.00000000,20179.08000000,18626.00000000,19942.21000000,93846.64806000,1656633599999,1808994369.03144390,1438163,45447.98482000,876020577.34959570,0
26,1656633600000,19942.21000000,20918.35000000,18975.00000000,19279.80000000,111844.59494000,1656719999999,2197016369.96952880,1668363,56417.61783000,1108492421.95652620,0
27,1656720000000,19279.80000000,19467.39000000,18977.01000000,19252.81000000,46180.30210000,1656806399999,888415536.87306640,833508,23693.90779000,455851305.37637550,0
28,1656806400000,19252.82000000,19647.63000000,18781.00000000,19315.83000000,51087.46631000,1656892799999,980255891.39525530,880786,25361.96292000,486752875.43699910,0
29,1656892800000,19315.83000000,20354.01000000,19055.31000000,20236.71000000,74814.04601000,1656979199999,1470987695.52158190,1282843,38543.72441000,758241531.98802060,0
30,1656979200000,20236.71000000,20750.00000000,19304.40000000,20175.83000000,96041.13756000,1657065599999,1919950110.16743050,1612273,48358.47507000,967109793.38447560,0
31,1657065600000,20175.84000000,20675.22000000,19761.25000000,20564.51000000,82439.58080000,1657151999999,1665481948.00963180,1472221,41580.73433000,840150579.64268600,0
32,1657152000000,20564.51000000,21838.10000000,20251.68000000,21624.98000000,85014.58261000,1657238399999,1783224085.72367990,1653722,42731.53720000,896703207.21045650,0
33,1657238400000,21624.99000000,22527.37000000,21189.26000000,21594.75000000,403081.57349000,1657324799999,8781330156.61243140,4358216,201798.10144000,4396546053.03190870,0
